,ud_word,ud_word_level,ud_word_pos
118,allegation,C1,noun
119,allowance,C1,noun
120,ally,C1,noun
121,aluminium,C1,noun
122,ambassador,C1,noun
123,amendment,C1,noun
124,anchor,C1,noun
125,applicable,C1,adjective
126,appoint,C1,verb
127,archive,C1,noun
128,arena,C1,noun
129,arguably,C1,adverb
130,arm,C1,verb
131,array,C1,noun
132,ash,C1,noun
133,aspire,C1,verb
134,assassination,C1,noun
135,assertion,C1,noun
136,assurance,C1,noun
137,atrocity,C1,noun
138,attendance,C1,noun
139,attorney,C1,noun
140,audit,C1,noun
141,authorize,C1,verb
142,autonomy,C1,noun
143,availability,C1,noun
144,ballot,C1,noun
145,banner,C1,noun
146,barrel,C1,noun
147,bass1,C1,noun
148,bat,C1,verb
149,bay,C1,noun
150,beam,C1,noun
151,beast,C1,noun
152,beloved,C1,adjective
153,benchmark,C1,noun
154,beneficiary,C1,noun
155,betray,C1,verb
156,bleed,C1,verb
157,bless,C1,verb
158,blessing,C1,noun
159,bonus,C1,noun
160,boom,C1,noun
161,boundary,C1,noun
162,breakthrough,C1,noun
163,broadband,C1,noun
164,browser,C1,noun
165,buck,C1,noun
166,buddy,C1,noun
167,buffer,C1,noun
168,bulk,C1,noun
169,burden,C1,noun
170,cabinet,C1,noun
171,canvas,C1,noun
172,carriage,C1,noun
173,carve,C1,verb
174,casino,C1,noun
175,catalogue,C1,noun
176,cattle,C1,noun
177,cemetery,C1,noun
178,charter,C1,noun
179,chunk,C1,noun
180,civic,C1,adjective
181,clarity,C1,noun
182,classification,C1,noun
183,cling,C1,verb
184,cluster,C1,noun
185,coalition,C1,noun
186,cocktail,C1,noun
187,cognitive,C1,adjective
188,collective,C1,adjective
189,collision,C1,noun
190,colonial,C1,adjective
191,columnist,C1,noun
192,commentator,C1,noun
193,commissioner,C1,noun
194,communist,C1,adjective
195,compassion,C1,noun
196,compel,C1,verb
197,compensation,C1,noun
198,complement,C1,verb
199,compliance,C1,noun
200,compute,C1,verb
201,configuration,C1,noun
202,congregation,C1,noun
203,congressional,C1,adjective
204,conserve,C1,verb
205,consolidate,C1,verb
206,constituency,C1,noun
207,contention,C1,noun
208,contractor,C1,noun
209,contributor,C1,noun
210,coordinate,C1,verb
211,coordination,C1,noun
212,coordinator,C1,noun
213,cop,C1,noun
214,correlate,C1,verb
215,correlation,C1,noun
216,correspondence,C1,noun
217,correspondent,C1,noun
218,costly,C1,adjective
219,councillor,C1,noun
220,creator,C1,noun
221,creep,C1,verb
222,crown,C1,noun
223,cutting,C1,noun
224,dam,C1,noun
225,decision-making,C1,noun
226,deed,C1,noun
227,default,C1,noun
228,demon,C1,noun
229,denounce,C1,verb
230,deployment,C1,noun
231,descent,C1,noun
232,designate,C1,verb
233,destructive,C1,adjective
234,detain,C1,verb
235,detection,C1,noun
236,detention,C1,noun
237,devastate,C1,verb
238,dictator,C1,noun
239,diplomatic,C1,noun
240,discard,C1,verb
241,disclosure,C1,noun
242,discourse,C1,noun
243,dispose,C1,verb
244,divine,C1,adjective
245,doctrine,C1,noun
246,documentation,C1,noun
247,driving,C1,adjective
248,dub,C1,verb
249,duo,C1,noun
250,dynamic,C1,noun
251,educator,C1,noun
252,ego,C1,noun
253,electoral,C1,adjective
254,empower,C1,verb
255,enact,C1,verb
256,encompass,C1,verb
257,endorsement,C1,noun
258,enforcement,C1,noun
259,engagement,C1,noun
260,engaging,C1,adjective
261,enrol,C1,verb
262,ensue,C1,verb
263,epidemic,C1,noun
264,erect,C1,verb
265,eternal,C1,adjective
266,evacuate,C1,verb
267,excellence,C1,noun
268,exclusion,C1,noun
269,execution,C1,noun
270,exert,C1,verb
271,explicitly,C1,adverb
272,exploitation,C1,noun
273,faction,C1,noun
274,faculty,C1,noun
275,firearm,C1,noun
276,fit,C1,noun
277,fixture,C1,noun
278,footage,C1,noun
279,forge,C1,verb
280,forth,C1,adverb
281,franchise,C1,noun
282,fundraising,C1,noun
283,gallon,C1,noun
284,genocide,C1,noun
285,glorious,C1,adjective
286,governance,C1,noun
287,gravity,C1,noun
288,grid,C1,noun
289,grind,C1,verb
290,guerrilla,C1,noun
291,gut,C1,noun
292,halfway,C1,adverb
293,handful,C1,noun
294,handling,C1,noun
295,heighten,C1,verb
296,homeland,C1,noun
297,hook,C1,verb
298,ideology,C1,noun
299,imagery,C1,noun
300,incidence,C1,noun
301,inclined,C1,adjective
302,indictment,C1,noun
303,indigenous,C1,adjective
304,infamous,C1,adjective
305,inflict,C1,verb
306,inhibit,C1,verb
307,inject,C1,verb
308,inmate,C1,noun
309,insertion,C1,noun
310,institutional,C1,adjective
311,intake,C1,noun
312,integrated,C1,adjective
313,interface,C1,noun
314,invoke,C1,verb
315,irrelevant,C1,adjective
316,judicial,C1,adjective
317,junction,C1,noun
318,jurisdiction,C1,noun
319,kidnap,C1,verb
320,legislative,C1,adjective
321,legislature,C1,noun
322,lesbian,C1,adjective
323,lesser,C1,adjective
324,license,C1,verb
325,limb,C1,noun
326,linear,C1,adjective
327,line-up,C1,noun
328,listing,C1,noun
329,long-standing,C1,adjective
330,loop,C1,noun
331,mandate,C1,noun
332,manifest,C1,verb
333,manuscript,C1,noun
334,marine,C1,adjective
335,marketplace,C1,noun
336,meantime,C1,noun
337,meditation,C1,noun
338,mentor,C1,noun
339,methodology,C1,noun
340,militia,C1,noun
341,mill,C1,noun
342,minute2,C1,adjective
343,mobility,C1,noun
344,morality,C1,noun
345,niche,C1,noun
346,nominee,C1,noun
347,novel,C1,adjective
348,obsess,C1,verb
349,operational,C1,adjective
350,originate,C1,verb
351,outing,C1,noun
352,outsider,C1,noun
353,overly,C1,adverb
354,oversee,C1,verb
355,overturn,C1,verb
356,pad,C1,noun
357,parental,C1,adjective
358,parish,C1,noun
359,parliamentary,C1,adjective
360,passing,C1,noun
361,pastor,C1,noun
362,patent,C1,noun
363,pathway,C1,noun
364,patron,C1,noun
365,petition,C1,noun
366,physician,C1,noun
367,pipeline,C1,noun
368,poll,C1,noun
369,post-war,C1,adjective
370,preach,C1,verb
371,premier,C1,noun
372,premise,C1,noun
373,preside,C1,verb
374,prevalence,C1,noun
375,privatization,C1,noun
376,proceeds,C1,noun
377,proclaim,C1,verb
378,pronounced,C1,adjective
379,prospective,C1,adjective
380,protocol,C1,noun
381,psychiatric,C1,adjective
382,ranking,C1,noun
383,recipient,C1,noun
384,recount1,C1,verb
385,regulator,C1,noun
386,rehabilitation,C1,noun
387,removal,C1,noun
388,rental,C1,noun
389,reside,C1,verb
390,residue,C1,noun
391,rhetoric,C1,noun
392,robust,C1,adjective
393,rod,C1,noun
394,rotate,C1,verb
395,rotation,C1,noun
396,sake,C1,noun
397,say,C1,noun
398,secular,C1,adjective
399,set-up,C1,noun
400,sexuality,C1,noun
401,shareholder,C1,noun
402,shatter,C1,verb
403,shed,C1,verb
404,shipping,C1,noun
405,shoot,C1,noun
406,simulate,C1,verb
407,situated,C1,adjective
408,slash,C1,verb
409,socialist,C1,adjective
410,sovereignty,C1,noun
411,spell,C1,noun
412,stabilize,C1,verb
413,stake,C1,noun
414,standing,C1,adjective
415,stun,C1,verb
416,submission,C1,noun
417,subscriber,C1,noun
418,subscription,C1,noun
419,suburban,C1,adjective
420,suite,C1,noun
421,surgical,C1,adjective
422,suspension,C1,noun
423,synthesis,C1,noun
424,tackle,C1,noun
425,tactical,C1,adjective
426,tempt,C1,verb
427,tenure,C1,noun
428,terminal,C1,adjective
429,terminate,C1,verb
430,testimony,C1,noun
431,theatrical,C1,adjective
432,theology,C1,noun
433,thought-provoking,C1,adjective
434,timely,C1,adjective
435,trademark,C1,noun
436,transcript,C1,noun
437,transit,C1,noun
438,transparency,C1,noun
439,tribunal,C1,noun
440,trigger,C1,noun
441,trustee,C1,noun
442,turnout,C1,noun
443,undergraduate,C1,noun
444,unify,C1,verb
445,unveil,C1,verb
446,utility,C1,noun
447,vessel,C1,noun
448,vibrant,C1,adjective
449,violation,C1,noun
450,vocal,C1,adjective
451,vulnerability,C1,noun
452,weave,C1,verb
453,well,C1,noun
454,whatsoever,C1,adverb
455,whilst,C1,conjunction
456,whip,C1,verb
457,a.m./A.M./am/AM,A1,adverb
458,abnormally,B2,adverb
459,aboriginal,B2,adjective
460,aborigine,B1,noun
461,above,A1,preposition
462,absentee,B2,noun
463,abundant,B1,adjective
464,access,B2,verb
465,accessibility,B2,noun
466,accessory,B1,noun
467,accident,A2,noun
468,accommodation,B2,noun
469,according to,B1,preposition
470,account,B1,verb
471,accustom,B1,verb
472,ache,B1,noun
473,ache,B2,verb
474,achievable,B2,adjective
475,achieve,A2,verb
476,achievement,B1,noun
477,acknowledgment/acknowledgement,B1,noun
478,acquaintance,B1,noun
479,act,B1,verb
480,action,A1,noun
481,actress,B1,noun
482,ad,B1,noun
483,adaptable,B2,adjective
484,addict,B2,noun
485,addition,A2,noun
486,addressee,B1,noun
487,admiration,B1,noun
488,admit,A2,verb
489,adorable,B1,adjective
490,adorn,B2,verb
491,adult,A2,noun
492,advance,B1,verb
493,advancement,B2,noun
494,advent,B2,noun
495,adventure,A2,noun
496,adverb,B1,noun
497,adverbial,B1,adjective
498,advertisement,A2,noun
499,advertising,A2,noun
500,advice,A2,noun
501,advise,A2,verb
502,adviser/advisor,B1,noun
503,aerobics,B1,noun
504,affair,A2,noun
505,afford,B1,verb
506,after,B1,conjunction
507,afterward,B1,adverb
508,ageless,B2,adjective
509,agenda,B1,noun
510,agent,A2,noun
511,agonize/agonise,B2,verb
512,agony,B2,noun
513,aid,B1,verb
514,aim,B2,verb
515,air conditioning,B1,noun
516,air force,B1,noun
517,aircraft,B2,noun
518,airline,B1,noun
519,airplane/aeroplane,A1,noun
520,aisle,A2,noun
521,alarm clock,A2,noun
522,alcohol,B1,noun
523,alcoholic,B2,noun
524,alcoholism,B2,noun
525,all,A1,pronoun
526,all right,A1,adjective
527,all right,A1,adverb
528,allergic,B1,adjective
529,alphabet,B1,noun
530,alright,A2,adverb
531,altar,B2,noun
532,although,A2,conjunction
533,altitude,B2,noun
534,aluminum/aluminium,B2,noun
535,am,A1,verb
536,amazement,B2,noun
537,ambiguity,B2,noun
538,ambition,A2,noun
539,ammonia,B2,noun
540,amount,B1,noun
541,amplifier,B2,noun
542,amplify,B2,verb
543,amusement,A2,noun
544,analyze/analyse,B1,verb
545,anchorage,B2,noun
546,anchorman,B2,noun
547,anchorperson,B2,noun
548,anger,B1,noun
549,angle,B1,noun
550,anguish,B2,noun
551,animate,B2,verb
552,announce,B1,verb
553,announcement,B1,noun
554,annoy,A2,verb
555,annoyance,B1,noun
556,another,A2,pronoun
557,ant,B1,noun
558,anti,B1,adjective
559,antiaircraft,B2,adjective
560,antibacterial,B2,adjective
561,anticancer,B2,noun
562,anticipation,B2,noun
563,antipollution,B2,noun
564,antistatic,B2,adjective
565,antivirus,B2,noun
566,antonym,B1,noun
567,any,A1,pronoun
568,apartment,A2,noun
569,ape,B1,noun
570,apologize/apologise,A2,verb
571,apostrophe,B2,noun
572,apple,A1,noun
573,appointment,A2,noun
574,appreciative,B2,adjective
575,approval,B1,noun
576,approve,B1,verb
577,apron,A1,noun
578,arch,B2,noun
579,archaeologist/archeologist,B2,noun
580,architect,B1,noun
581,arctic,B2,adjective
582,are,A1,verb
583,area,A2,noun
584,argue,A2,verb
585,aristocracy,B2,noun
586,arithmetic,B1,noun
587,armchair,A2,noun
588,armful,B2,noun
589,arrange,B1,verb
590,arrest,B1,noun
591,arrest,B1,verb
592,arrival,B1,noun
593,artery,B2,noun
594,article,A1,noun
595,artist,B1,noun
596,artistry,B2,noun
597,as,A2,conjunction
598,as,A1,preposition
599,aspect,B1,noun
600,aspirin,B1,noun
601,assessment,B2,noun
602,assist,B1,verb
603,assistant,A2,adjective
604,assistant,B1,noun
605,association,A2,noun
606,assume,B1,verb
607,astonish,B2,verb
608,astronomer,B1,noun
609,astronomy,B2,noun
610,athletics,B2,noun
611,Atlantic,B1,adjective
612,atom,A2,noun
613,attached,B2,adjective
614,attainment,B2,noun
615,attempt,A2,noun
616,attempt,B1,verb
617,attentive,B2,adjective
618,attentively,B2,adverb
619,attitude,A2,noun
620,attraction,B1,noun
621,attractiveness,B2,noun
622,attribute,B2,noun
623,attribute,B2,verb
624,atypical,B2,adjective
625,aubergine,B2,noun
626,audition,B2,noun
627,author,A2,noun
628,authorize/authorise,B2,verb
629,autumn,A1,noun
630,auxiliary,B1,adjective
631,avenue,B1,noun
632,average,A2,noun
633,avoid,A2,verb
634,ax/axe,B2,noun
635,axis,B2,noun
636,babysit,B1,verb
637,babysitter,B1,noun
638,backache,B1,noun
639,backpack,B1,noun
640,backpacker,B1,noun
641,backpacking,B1,noun
642,backward/backwards,B2,adverb
643,backyard,B2,noun
644,bacon,B1,noun
645,badminton,A2,noun
646,bake,A2,verb
647,baker,B1,noun
648,bakery,B1,noun
649,balcony,A2,noun
650,balky,B2,adjective
651,ball,A1,noun
652,ballad,B2,noun
653,ban,B2,noun
654,bandage,B1,noun
655,bang,B1,noun
656,bank,A2,verb
657,bank account,B1,noun
658,banker,B2,noun
659,banking,A2,noun
660,bankrupt,B2,verb
661,bankruptcy,B2,noun
662,bar,B1,verb
663,barbecue,A2,noun
664,barber,A2,noun
665,barbershop,B2,noun
666,bare,B2,verb
667,bargain,B2,verb
668,bark,B2,verb
669,barley,B2,noun
670,barn,B2,noun
671,barometer,B2,noun
672,barren,B2,adjective
673,bartender,B2,noun
674,base,B1,verb
675,basin,B1,noun
676,basis,B1,noun
677,basketball,A1,noun
678,batch,A2,noun
679,bathhouse,B2,noun
680,beagle,B2,noun
681,beak,B2,noun
682,bean,A1,noun
683,bear,A1,noun
684,beard,B1,noun
685,bearing,B2,noun
686,beat,B2,noun
687,beautify,B2,verb
688,beauty,A2,noun
689,beaver,B1,noun
690,because,A1,conjunction
691,because of,B1,preposition
692,bee,A1,noun
693,been,A2,verb
694,before,A2,conjunction
695,beg,A2,verb
696,beginner,A2,noun
697,behavior/behaviour,A2,noun
698,being,A2,noun
699,bellow,B2,verb
700,belly,A2,noun
701,below,A1,preposition
702,bend,B2,noun
703,benevolence,B2,noun
704,benevolent,B2,adjective
705,berry,B2,noun
706,bestseller,B2,noun
707,bewilder,B2,verb
708,bewilderment,B2,noun
709,bidding,B2,noun
710,bikini,B2,noun
711,bill,A2,noun
712,bill,B1,verb
713,billion,B2,noun
714,bio,B2,noun
715,biochemistry,B1,noun
716,biotechnology,B2,noun
717,birdcage,B2,noun
718,birth,A1,noun
719,birthplace,B2,noun
720,biscuit,A1,noun
721,bit,A2,noun
722,black,A1,noun
723,blackboard,A2,noun
724,blame,B1,noun
725,blame,A2,verb
726,blast,B2,noun
727,blaze,B2,noun
728,blaze,B2,verb
729,blend,B1,verb
730,blindness,B2,noun
731,blog,B1,noun
732,blogger,B1,noun
733,bloodstream,B2,noun
734,bloody,B2,adverb
735,bloom,A2,noun
736,blooming,B2,adjective
737,blossom,B2,noun
738,blue,A1,noun
739,blur,B2,verb
740,blurt,B2,noun
741,blush,B1,noun
742,board,B1,verb
743,board game,A2,noun
744,bold,B2,noun
745,bolt,B2,noun
746,bolt,B2,verb
747,bomb,B1,verb
748,bombard,B2,noun
749,bone,A1,noun
750,bony,B2,adjective
751,book,B1,verb
752,bookcase,A2,noun
753,bookish,B2,adjective
754,booklet,B2,noun
755,bookmark,B2,noun
756,bookmark,B2,verb
757,bookshop,A2,noun
758,boot,B1,noun
759,booth,B2,noun
760,border,B1,noun
761,bore,B1,verb
762,boredom,B1,noun
763,boss,A2,noun
764,botany,B2,noun
765,both,A1,pronoun
766,bother,B1,noun
767,bothersome,B2,adjective
768,bounce,B2,noun
769,bourbon,B2,noun
770,bow,B2,verb
771,bowl,B1,verb
772,boxer,B2,noun
773,bra,A2,noun
774,bracelet,B1,noun
775,brag,B2,noun
776,brainstorm,A2,noun
777,brainstorming,B1,noun
778,branch,A2,noun
779,branch,B1,verb
780,brand,A2,noun
781,brand-new,B1,adjective
782,bravery,B2,noun
783,breakup,B2,noun
784,breast,B1,noun
785,breath,B1,noun
786,breathe,A1,verb
787,breathless,B1,adjective
788,breed,B2,noun
789,breed,B1,verb
790,breeding,B1,noun
791,breeze,A2,noun
792,breezy,B2,adjective
793,brewery,B2,noun
794,bride,A2,noun
795,broadcast,B1,noun
796,broccoli,B1,noun
797,brochure,B2,noun
798,brotherhood,B1,noun
799,brother-in-law,B2,noun
800,brown,A2,noun
801,browse,B2,verb
802,bruise,B2,noun
803,bubble,B1,noun
804,bucket,A1,noun
805,bud,B2,noun
806,budget,A2,noun
807,builder,B1,noun
808,bulb,A2,noun
809,bulimia,B2,noun
810,bullet,B1,noun
811,bulletin,B1,noun
812,bum,B2,noun
813,bump,B1,verb
814,bumper,B2,noun
815,bun,B2,noun
816,bunch,B1,noun
817,burden,B2,verb
818,burdensome,B2,adjective
819,bureau,B1,noun
820,burger,A1,noun
821,burglary,B2,noun
822,burgle,B2,verb
823,bus station,A2,noun
824,bus stop,A2,noun
825,bush,A2,noun
826,businessman,A2,noun
827,businesswoman,A2,noun
828,bust,B1,verb
829,bustle,B2,verb
830,butcher,B1,noun
831,butcher,B2,verb
832,butter,A1,noun
833,button,A1,noun
834,cab,A2,noun
835,cabbage,B1,noun
836,cable,B2,noun
837,cafe/café,A1,noun
838,cafeteria,A2,noun
839,cage,B1,noun
840,calculate,B1,verb
841,calendar,A2,noun
842,calf,B1,noun
843,calmness,B1,noun
844,camel,B1,noun
845,camp,A1,noun
846,camp,A2,verb
847,campaign,B2,noun
848,camping,A2,noun
849,campsite,B1,noun
850,can,A1,modal auxiliary
851,can,A2,noun
852,cancel,B1,verb
853,cancer,B1,noun
854,cane,B2,noun
855,cannonball,B2,noun
856,canon,B2,noun
857,canteen,B1,noun
858,cap,A1,noun
859,capacity,B1,noun
860,capital letter,A2,noun
861,capsule,B1,noun
862,captain,A2,noun
863,caption,B2,noun
864,captive,B2,noun
865,capture,B1,noun
866,car park,A2,noun
867,caravan,B2,noun
868,carbon dioxide,B2,noun
869,carbon footprint,B2,noun
870,carbon monoxide,B2,noun
871,cardigan,B2,noun
872,carelessness,B1,noun
873,carnival,B2,noun
874,carpet,B1,noun
875,carpool,B2,noun
876,carrot,A2,noun
877,cartoon,A1,noun
878,cascade,B2,noun
879,cash,A2,noun
880,castle,A2,noun
881,catalog/catalogue,B2,noun
882,catalyst,B2,noun
883,catastrophic,B2,adjective
884,catch,A1,noun
885,catchy,B2,adjective
886,categorization/categorisation,B2,noun
887,categorize/categorise,B1,verb
888,catering,B2,noun
889,cathedral,B2,noun
890,CD,A1,noun
891,CD player,A1,noun
892,CD-ROM,B1,noun
893,celebrate,A1,verb
894,celebration,A1,noun
895,celebrity,B1,noun
896,cell,B1,noun
897,cellar,B2,noun
898,cellist,B2,noun
899,cello,B2,noun
900,center/centre,A2,noun
901,centimeter/centimetre,A2,noun
902,central heating,B1,noun
903,century,A2,noun
904,cereal,A2,noun
905,certification,B2,noun
906,chairman,A2,noun
907,challenge,B2,verb
908,champagne,A2,noun
909,chapter,A2,noun
910,characterize/characterise,B1,verb
911,chariot,B1,noun
912,chart,A2,noun
913,chase,B1,noun
914,chat,B1,noun
915,chat show,B1,noun
916,cheat,B2,verb
917,check,A1,noun
918,check-in counter/check-in,B1,noun
919,check-in desk/check-in,B1,noun
920,checkout,B1,noun
921,checkpoint,B2,noun
922,cheerfulness,B2,noun
923,chef,A2,noun
924,chemist,B1,noun
925,chemotherapy,B2,noun
926,cheque,A2,noun
927,cherished,B2,adjective
928,chest of drawers,B1,noun
929,chewing gum,B1,noun
930,chief,B2,noun
931,chili/chilli,A2,noun
932,chimney,B2,noun
933,chimpanzee,A2,noun
934,chin,A2,noun
935,choke,B1,verb
936,Christian,B1,adjective
937,chronological,B1,adjective
938,chuckle,B1,noun
939,circle,A1,noun
940,circuitry,B2,noun
941,citizen,A2,noun
942,citywide,B2,adjective
943,civilization/civilisation,B1,noun
944,claim,B1,noun
945,clap,B2,verb
946,classic,B2,noun
947,classical music,A2,noun
948,clause,B2,noun
949,cleaner,A2,noun
950,clear,B1,verb
951,clerical,B2,adjective
952,click,B1,noun
953,client,B2,noun
954,climate change,B2,noun
955,climb,A1,noun
956,climber,B1,noun
957,clock,A1,noun
958,clog,B2,verb
959,clone,A2,verb
960,clothing,B2,noun
961,cloud,A1,noun
962,clue,A2,noun
963,coach,A1,noun
964,coaching,B2,noun
965,coarse,B2,adjective
966,coast,A2,noun
967,coast,B1,verb
968,coastline,B2,noun
969,coconut,B2,noun
970,code,A1,noun
971,coffin,B1,noun
972,coherence,B2,noun
973,coke,A1,noun
974,collar,B1,noun
975,colleague,B2,noun
976,collocation,B2,noun
977,colon,B2,noun
978,color/colour,A1,noun
979,color/colour,A1,verb
980,colorful/colourful,A2,adjective
981,combination,B1,noun
982,combine,B1,verb
983,comet,B1,noun
984,commission,B2,noun
985,common sense,B1,noun
986,commonwealth,B2,noun
987,compassionate,B2,adjective
988,complement,B1,noun
989,comprehension,B2,noun
990,compress,B2,noun
991,compression,B2,noun
992,conceit,B2,noun
993,conduct,B1,noun
994,cone,B2,noun
995,conferencing,B2,noun
996,connection/connexion,B1,noun
997,conquest,B2,noun
998,considering,B2,conjunction
999,consist,A2,verb
1000,consolation,B2,noun
1001,console,B2,verb
1002,converse,B2,noun
1003,conversely,B2,adverb
1004,cooler,A2,noun
1005,cornerstone,B2,noun
1006,cornet,B2,noun
1007,corona,B2,noun
1008,corporal,B2,adjective
1009,correctness,B2,noun
1010,could,A1,modal auxiliary
1011,counseling/counselling,B1,noun
1012,counter,B1,verb
1013,countryman,B2,noun
1014,countrywide,B2,adjective
1015,coziness/cosiness,B2,noun
1016,cozy/cosy,B2,adjective
1017,craftsman,B2,noun
1018,crease,B2,noun
1019,credit card,A1,noun
1020,creek,B2,noun
1021,creepy,B2,adjective
1022,cripple,B2,noun
1023,criticize/criticise,A2,verb
1024,crystallize/crystallise,B2,verb
1025,cube,B2,noun
1026,cubism,B2,noun
1027,cuff,B2,noun
1028,culmination,B2,noun
1029,curl,B2,noun
1030,curse,A2,noun
1031,cyberaddict,B2,noun
1032,cybercafe/cybercafé,B2,noun
1033,cybercrime,B2,noun
1034,cyberpet,B2,noun
1035,cyberschool,B2,noun
1036,cyberspace,B2,noun
1037,daddy,A1,noun
1038,daft,B2,adjective
1039,daisy,B1,noun
1040,damn,B2,adjective
1041,damn,B2,adverb
1042,damn,B2,interjection
1043,dandelion,B2,noun
1044,darling,B2,adjective
1045,dating,B1,noun
1046,daze,B1,noun
1047,dazzle,B1,noun
1048,de facto,B2,adjective
1049,dear,B2,noun
1050,dearly,B2,adverb
1051,debit card,B2,noun
1052,decomposition,B2,noun
1053,dedicate,B1,verb
1054,defense/defence,B1,noun
1055,definite article,B1,noun
1056,dehumanize/dehumanise,B2,verb
1057,delicacy,B2,noun
1058,delicately,B2,adverb
1059,delight,B2,verb
1060,department store,A2,noun
1061,depend,A2,verb
1062,dependable,B2,adjective
1063,descriptive,B2,adjective
1064,desolation,B2,noun
1065,despise,B2,verb
1066,detach,B2,verb
1067,detachment,B2,noun
1068,devotion,B1,noun
1069,dial,B1,noun
1070,dialog/dialogue,B1,noun
1071,diameter,B1,noun
1072,diaper,B1,noun
1073,diarrhea/diarrhoea,B2,noun
1074,did,A1,verb
1075,dig,A1,noun
1076,digest,B2,noun
1077,digital camera,A2,noun
1078,dignify,B2,verb
1079,diligence,B1,noun
1080,diligent,B1,adjective
1081,dime,B2,noun
1082,dining room,A1,noun
1083,dioxide,B1,noun
1084,diphtheria,B2,noun
1085,disable,B1,verb
1086,disc jockey/disk jockey,B1,noun
1087,discharge,B2,noun
1088,disciple,B2,noun
1089,disconnect,B2,verb
1090,disillusion,B2,verb
1091,disk/disc,B1,noun
1092,disorderly,B2,adjective
1093,disorganized/disorganised,B2,adjective
1094,dispensable,B2,adjective
1095,disregard,B2,noun
1096,dissident,B2,noun
1097,distinctly,B1,adverb
1098,distortion,B2,noun
1099,distributor,B2,noun
1100,diversion,B2,noun
1101,doc,B1,noun
1102,doctor/Dr./Dr,A1,noun
1103,does,A1,verb
1104,doing,A1,verb
1105,done,A2,verb
1106,doorkeeper,B2,noun
1107,dorm,B2,noun
1108,dormitory,B2,noun
1109,double,B2,noun
1110,doubly,B2,adverb
1111,dove,B2,noun
1112,downfall,B2,noun
1113,downsize,B2,verb
1114,downtown,A2,adverb
1115,dowry,B2,noun
1116,doze,B1,noun
1117,dozen,B1,determiner
1118,draft/draught,B2,noun
1119,drapery,B2,noun
1120,draw,A2,noun
1121,dreamy,B2,adjective
1122,drill,A2,noun
1123,drinkable,B2,adjective
1124,driver's license/driving licence,A2,noun
1125,droop,B2,noun
1126,dropout,B2,noun
1127,drugstore,A2,noun
1128,dude,B1,noun
1129,duel,B2,noun
1130,duplicate,B2,noun
1131,duplication,B2,noun
1132,dwarf,B2,noun
1133,dye,B2,noun
